project,canonical_id,source,cwe,publish_at,cve_id,adv_id,intro_time_verdict,vuln_exists_at_intro_version,manual_review_needed,architecture_type,architecture_confidence,classification_type,primary_module,secondary_modules,category,category_name,module_from_step2_primary,module_from_step2_secondary,module_from_step2_classification_type,input_type,input_subtype,mechanism_type,mechanism_subtype,requires_ai_function,ai_native_subtype,cross_agent,difficulty,confidence,overall_confidence,manual_review_reason,fail_code,fail_reason
BerriAI_litellm,CVE-2024-10188,cves,CWE-400,2025-03-20T10:15:14.993,CVE-2024-10188,,correct,yes,no,ai_api_gateway,high,matched_existing_module,input_validation,rest_api,A,传统类型漏洞,input_validation,rest_api,matched_existing_module,api_input,raw_http_body,resource_exhaustion,uncontrolled_expression_evaluation,no,none,no,easy,high,,,,
BerriAI_litellm,CVE-2024-4888,cves,CWE-862,2024-06-06T19:16:03.397,CVE-2024-4888,,correct,yes,no,ai_api_gateway,high,matched_existing_module,speech_to_text,rest_api,A,传统类型漏洞,speech_to_text,rest_api,matched_existing_module,file_input,multipart_filename,injection,path_traversal,no,none,no,easy,high,,,,
BerriAI_litellm,CVE-2025-11203,cves,CWE-200,2025-10-29T20:15:35.937,CVE-2025-11203,,correct,yes,no,ai_api_gateway,high,matched_existing_module,health_check,None,A,传统类型漏洞,health_check,None,matched_existing_module,api_input,parameter,logic_flaw,insufficient_sanitization,no,none,no,easy,high,,,,
BerriAI_litellm,CVE-2025-45809,cves,CWE-89,2025-07-03T19:15:24.027,CVE-2025-45809,,correct,no,no,ai_api_gateway,high,matched_existing_module,api_key_management,authentication,A,传统类型漏洞,api_key_management,authentication,matched_existing_module,api_input,http_header,injection,sql_injection,no,none,no,N/A (exploitation not feasible),high,,,,
BerriAI_litellm,CVE-2026-35029,cves,CWE-863,2026-04-06T17:17:12.353,CVE-2026-35029,GHSA-53mr-6c8q-9789,correct,yes,no,ai_api_gateway,high,matched_existing_module,authorization,"config_loader, rest_api",A,传统类型漏洞,authorization,"config_loader, rest_api",matched_existing_module,user_input,http_request_body,auth_bypass,missing_role_check,no,none,no,medium,high,,,,
BerriAI_litellm,CVE-2026-35030,cves,CWE-287,2026-04-06T17:17:12.650,CVE-2026-35030,GHSA-jjhc-v7c2-5hh6,correct,yes,no,ai_api_gateway,high,matched_existing_module,authentication,"cache_system, authorization",A,传统类型漏洞,authentication,"cache_system, authorization",matched_existing_module,user_input,bearer_token,auth_bypass,cache_collision,no,none,no,easy,high,,,,
BerriAI_litellm,CVE-2026-40217,cves,CWE-420,2026-04-10T14:16:36.307,CVE-2026-40217,GHSA-wxxx-gvqv-xp7p,correct,yes,no,ai_api_gateway,high,matched_existing_module,content_moderation,"input_validation, code_sandbox",A,传统类型漏洞,content_moderation,"input_validation, code_sandbox",matched_existing_module,api_input,code_string,injection,code_injection,no,none,no,easy,high,,,,
BerriAI_litellm,CVE-2026-42203,cves,CWE-1336,2026-05-08T04:16:19.450,CVE-2026-42203,GHSA-xqmj-j6mv-4862,correct,yes,no,ai_api_gateway,high,matched_existing_module,prompt_management,"rest_api, input_validation",A,传统类型漏洞,prompt_management,"rest_api, input_validation",matched_existing_module,api_input,prompt_template,injection,ssti,no,none,no,easy,high,,,,
BerriAI_litellm,CVE-2026-42208,cves,CWE-89,2026-05-08T04:16:19.923,CVE-2026-42208,GHSA-r75f-5x8p-qvmc,incorrect,no,no,ai_api_gateway,high,matched_existing_module,authentication,api_key_management,A,传统类型漏洞,authentication,api_key_management,matched_existing_module,api_input,bearer_token,injection,sql_injection,no,none,no,hard,high,,,,
BerriAI_litellm,CVE-2026-42271,cves,"CWE-77, CWE-78",2026-05-08T04:16:21.820,CVE-2026-42271,GHSA-v4p8-mg3p-g94g,correct,yes,no,ai_api_gateway,high,matched_existing_module,mcp_server,input_validation,A,传统类型漏洞,mcp_server,input_validation,matched_existing_module,user_input,json_payload,injection,command_injection,no,none,no,easy,high,,,,
BerriAI_litellm,GHSA-69x8-hrgq-fjj8,security_advisories,,2026-04-04T01:00:18Z,,GHSA-69x8-hrgq-fjj8,correct,yes,no,ai_api_gateway,high,matched_existing_module,llm_provider_abstraction,"rest_api, model_router",A,传统类型漏洞,llm_provider_abstraction,"rest_api, model_router",matched_existing_module,user_input,model_parameter,auth_bypass,insufficient_validation,no,none,no,medium,high,,,,
BigSweetPotatoStudio_HyperChat,CVE-2026-7223,cves,CWE-918,2026-04-28T04:16:29.043,CVE-2026-7223,,correct,yes,no,ai_application_platform,medium,matched_existing_module,rest_api,"authentication, input_validation",A,传统类型漏洞,rest_api,"authentication, input_validation",matched_existing_module,api_input,http_header,injection,server_side_request_forgery,no,none,no,medium,medium,,,,
Budibase_budibase,CVE-2022-3225,cves,CWE-913,2022-09-16T17:15:13.290,CVE-2022-3225,,correct,yes,no,other,medium,matched_existing_module,input_validation,authorization,A,传统类型漏洞,input_validation,authorization,matched_existing_module,user_input,json_body,auth_bypass,mass_assignment,no,none,no,easy,high,,,,
Budibase_budibase,CVE-2023-29010,cves,CWE-918,2023-04-06T17:15:10.620,CVE-2023-29010,GHSA-9xg2-9mcv-985p,correct,yes,no,ai_application_platform,medium,matched_existing_module,input_validation,"rest_api, authentication",A,传统类型漏洞,input_validation,"rest_api, authentication",matched_existing_module,api_input,http_request,injection,server_side_request_forgery,no,none,no,medium,high,,,,
Budibase_budibase,CVE-2023-37466,cves,,2024-03-01T14:18:23Z,CVE-2023-37466,GHSA-4g2x-vq5p-5vj6,correct,yes,no,ai_application_platform,low,uncertain_existing_module,authentication,"rest_api, authorization",A,传统类型漏洞,authentication,"rest_api, authorization",uncertain_existing_module,api_input,api_key,auth_bypass,insufficient_evidence,no,none,no,easy,low,,,,
Budibase_budibase,CVE-2026-25040,cves,CWE-863,2026-01-29T22:15:55.347,CVE-2026-25040,GHSA-4wfw-r86x-qxrm,correct,yes,no,ai_application_platform,low,matched_existing_module,authorization,"rest_api, input_validation",INSUFFICIENT_EVIDENCE,insufficient_evidence,authorization,"rest_api, input_validation",matched_existing_module,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,N/A（漏洞不存在，无法评估利用难度）,high,,,,
Budibase_budibase,CVE-2026-25041,cves,CWE-78,2026-03-09T20:16:07.147,CVE-2026-25041,GHSA-726g-59wr-cj4c,incorrect,no,no,ai_application_platform,low,matched_existing_module,database_orm,"rest_api, input_validation",A,传统类型漏洞,database_orm,"rest_api, input_validation",matched_existing_module,api_input,json_body,injection,command_injection,no,none,no,hard,high,,,,
Budibase_budibase,CVE-2026-25043,cves,CWE-770,2026-04-03T16:16:35.607,CVE-2026-25043,GHSA-277c-prw2-rqgh,correct,yes,no,insufficient_evidence,low,matched_existing_module,authentication,rest_api,A,传统类型漏洞,authentication,rest_api,matched_existing_module,user_input,http_request_body,logic_flaw,missing_rate_limiting,no,none,no,easy,high,,,,
Budibase_budibase,CVE-2026-25044,cves,CWE-78,2026-04-03T16:16:35.870,CVE-2026-25044,GHSA-gjw9-34gf-rp6m,correct,yes,no,ai_application_platform,medium,matched_existing_module,execution_runtime,"node_system, input_validation",A,传统类型漏洞,execution_runtime,"node_system, input_validation",matched_existing_module,api_input,command_template,injection,command_injection,no,none,no,medium,high,,,,
Budibase_budibase,CVE-2026-25045,cves,CWE-862,2026-03-09T21:16:15.173,CVE-2026-25045,GHSA-2g39-332f-68p9,correct,yes,no,ai_application_platform,medium,matched_existing_module,authorization,"authentication, rest_api, workspace_management",A,传统类型漏洞,authorization,"authentication, rest_api, workspace_management",matched_existing_module,api_input,rest_endpoint,auth_bypass,insufficient_role_check,no,none,no,easy,high,,,,
Budibase_budibase,CVE-2026-25737,cves,"CWE-602, CWE-79, CWE-918",2026-03-09T21:16:15.340,CVE-2026-25737,GHSA-2hfr-343j-863r,correct,yes,no,ai_application_platform,low,needs_new_module_type,input_validation,"rest_api, object_storage",A,传统类型漏洞,input_validation,"rest_api, object_storage",needs_new_module_type,file_input,multipart_file,logic_flaw,missing_server_side_validation,no,none,no,easy,high,,,,
Budibase_budibase,CVE-2026-27702,cves,"CWE-20, CWE-94, CWE-95",2026-02-25T16:23:26.777,CVE-2026-27702,GHSA-rvhr-26g4-p2r8,correct,yes,no,low_code_application_platform,low,uncertain_existing_module,input_validation,"rest_api, database_orm",A,传统类型漏洞,input_validation,"rest_api, database_orm",uncertain_existing_module,api_input,json_body,injection,code_injection,no,none,no,easy,medium,,,,
Budibase_budibase,CVE-2026-30240,cves,"CWE-22, CWE-73",2026-03-09T21:16:18.843,CVE-2026-30240,GHSA-pqcr-jmfv-c9cp,correct,yes,no,ai_application_platform,low,matched_existing_module,input_validation,"rest_api, object_storage",A,传统类型漏洞,input_validation,"rest_api, object_storage",matched_existing_module,file_input,archive_extracted_json,path_traversal,relative_path,no,none,no,easy,high,,,,
Budibase_budibase,CVE-2026-31816,cves,CWE-74,2026-03-09T21:16:20.733,CVE-2026-31816,GHSA-gw94-hprh-4wj8,correct,yes,no,ai_application_platform,low,matched_existing_module,authorization,authentication,A,传统类型漏洞,authorization,authentication,matched_existing_module,user_input,query_string,auth_bypass,unanchored_regex,no,none,no,easy,high,,,,
Budibase_budibase,CVE-2026-31818,cves,"CWE-918, CWE-1188",2026-04-03T16:16:39.800,CVE-2026-31818,GHSA-7r9j-r86q-7g45,correct,yes,no,other (suggest: lowcode_application_platform),low,matched_existing_module,input_validation,rest_api,A,传统类型漏洞,input_validation,rest_api,matched_existing_module,user_input,json_body,injection,server_side_request_forgery,no,none,no,easy,high,,,,
Budibase_budibase,CVE-2026-33226,cves,CWE-918,2026-03-20T23:16:46.333,CVE-2026-33226,GHSA-4647-wpjq-hh7f,incorrect,no,yes,low_code_application_platform,medium,needs_new_module_type,other,"rest_api, input_validation",A,传统类型漏洞,other,"rest_api, input_validation",needs_new_module_type,api_input,http_request_body,injection,ssrf,no,none,no,medium,medium,,,,
Budibase_budibase,CVE-2026-35214,cves,CWE-22,2026-04-03T16:16:41.607,CVE-2026-35214,GHSA-2wfh-rcwf-wh23,correct,yes,no,low_code_application_platform,low,matched_existing_module,input_validation,"plugin_loader, rest_api",A,传统类型漏洞,input_validation,"plugin_loader, rest_api",matched_existing_module,file_input,filename,path_traversal,improper_input_validation,no,none,no,medium,high,,,,
Budibase_budibase,CVE-2026-35216,cves,CWE-78,2026-04-03T16:16:41.800,CVE-2026-35216,GHSA-fcm4-4pj2-m5hf,correct,yes,no,ai_application_platform,medium,matched_existing_module,execution_runtime,"webhook_system, workflow_scheduling, input_validation",A,传统类型漏洞,execution_runtime,"webhook_system, workflow_scheduling, input_validation",matched_existing_module,user_input,http_request_body,injection,os_command_injection,no,none,no,medium,high,,,,
Budibase_budibase,CVE-2026-35218,cves,CWE-79,2026-04-03T16:16:41.977,CVE-2026-35218,GHSA-gp5x-2v54-v2q5,correct,yes,no,other,medium,matched_existing_module,input_validation,"canvas_editor, database_orm",A,传统类型漏洞,input_validation,"canvas_editor, database_orm",matched_existing_module,user_input,form_field,injection,xss,no,none,no,easy,high,,,,
Budibase_budibase,CVE-2026-41428,cves,CWE-287,2026-04-24T20:16:27.523,CVE-2026-41428,GHSA-8783-3wgf-jggf,correct,yes,no,low_code_application_platform,medium,matched_existing_module,authentication,authorization,A,传统类型漏洞,authentication,authorization,matched_existing_module,user_input,url_query_string,auth_bypass,regex_anchor_bypass,no,none,no,easy,high,,,,
Budibase_budibase,CVE-2026-42239,cves,CWE-1004,2026-05-07T20:16:44.097,CVE-2026-42239,GHSA-4f9j-vr4p-642r,correct,yes,no,ai_application_platform,low,matched_existing_module,authentication,"input_validation, authorization",A,传统类型漏洞,authentication,"input_validation, authorization",matched_existing_module,user_input,javascript_injection,information_disclosure,missing_httponly,no,none,no,easy,high,,,,
Budibase_budibase,CVE-2026-45061,cves,,2026-05-07T08:35:49Z,CVE-2026-45061,GHSA-xh5j-727m-w6gg,correct,yes,no,low_code_platform,medium,insufficient_evidence,N/A,N/A,INSUFFICIENT_EVIDENCE,insufficient_evidence,N/A,N/A,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,uncertain,unknown,uncertain,medium,low,,,,
Budibase_budibase,CVE-2026-45548,cves,CWE-918,2026-05-11T10:41:34Z,CVE-2026-45548,GHSA-rpj4-7x2v-wjrf,correct,yes,no,ai_application_platform,high,matched_existing_module,input_validation,"webhook_system, rest_api",A,传统类型漏洞,input_validation,"webhook_system, rest_api",matched_existing_module,user_input,url,injection,server_side_request_forgery,no,none,no,medium,high,,,,
Budibase_budibase,CVE-2026-45715,cves,CWE-918,2026-05-12T10:25:47Z,CVE-2026-45715,GHSA-fgqv-jh4g-pvg2,correct,yes,no,insufficient_evidence,low,insufficient_evidence,insufficient_evidence,insufficient_evidence,A,传统类型漏洞,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,no,none,no,medium,low,,,,
Budibase_budibase,CVE-2026-45716,cves,CWE-269,2026-05-12T10:27:24Z,CVE-2026-45716,GHSA-c54j-xp92-wh28,correct,yes,no,low_code_platform,high,matched_existing_module,authentication,"authorization, workspace_management, rest_api",A,传统类型漏洞,authentication,"authorization, workspace_management, rest_api",matched_existing_module,api_input,json_payload,auth_bypass,improper_role_assignment,no,none,no,medium,high,,,,
Budibase_budibase,CVE-2026-45717,cves,CWE-862,2026-05-12T10:28:19Z,CVE-2026-45717,GHSA-44m2-crh7-f4q2,correct,yes,no,other_lowcode_platform (现有 AI 导向分类中无低代码平台类型，建议新增),low,uncertain_existing_module,authorization,authentication,A,传统类型漏洞,authorization,authentication,uncertain_existing_module,api_input,insufficient_evidence,auth_bypass,missing_authorization,no,none,no,medium,low,,,,
Budibase_budibase,CVE-2026-45718,cves,CWE-863,2026-05-12T10:28:53Z,CVE-2026-45718,GHSA-3263-v5v9-xq8q,correct,yes,no,ai_application_platform,low,matched_existing_module,authorization,authentication,A,传统类型漏洞,authorization,authentication,matched_existing_module,api_input,insufficient_evidence,auth_bypass,insufficient_evidence,no,none,no,medium,medium,,,,
Budibase_budibase,CVE-2026-45719,cves,CWE-94,2026-05-12T10:29:51Z,CVE-2026-45719,GHSA-363w-hvwh-w7m6,correct,yes,no,insufficient_evidence,insufficient_evidence,matched_existing_module,code_sandbox,input_validation,A,传统类型漏洞,code_sandbox,input_validation,matched_existing_module,user_input,script_code,injection,code_injection,no,none,no,medium,low,,,,
Budibase_budibase,CVE-2026-46424,cves,CWE-269,2026-05-14T08:33:39Z,CVE-2026-46424,GHSA-6vp2-6r7m-2jvx,correct,yes,no,insufficient_evidence,low,insufficient_evidence,insufficient_evidence,insufficient_evidence,INSUFFICIENT_EVIDENCE,证据不足,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,uncertain,unknown,uncertain,medium,low,,,,
Budibase_budibase,CVE-2026-46425,cves,CWE-862,2026-05-14T08:33:06Z,CVE-2026-46425,GHSA-q9rw-q89f-jx2f,correct,yes,no,insufficient_evidence,low,insufficient_evidence,insufficient_evidence,insufficient_evidence,INSUFFICIENT_EVIDENCE,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,easy,low,,,,
Budibase_budibase,CVE-2026-46426,cves,"CWE-79,CWE-434",2026-05-14T08:35:54Z,CVE-2026-46426,GHSA-82rc-gxrg-v4gf,correct,yes,no,insufficient_evidence,low,insufficient_evidence,insufficient_evidence,insufficient_evidence,INSUFFICIENT_EVIDENCE,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,uncertain,unknown,uncertain,medium,low,,,,
Budibase_budibase,CVE-2026-46427,cves,CWE-200,2026-05-14T08:37:08Z,CVE-2026-46427,GHSA-qv26-4hvj-m7fv,correct,yes,no,insufficient_evidence,low,uncertain_existing_module,insufficient_evidence,insufficient_evidence,A | B | C: insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,uncertain_existing_module,insufficient_evidence,insufficient_evidence,insufficient_evidence,insufficient_evidence,uncertain,unknown,uncertain,easy,low,,,,
Budibase_budibase,GHSA-86f3-cqpq-wp9m,security_advisories,CWE-918,2026-05-12T10:26:42Z,,GHSA-86f3-cqpq-wp9m,incorrect,yes,no,ai_application_platform,low,matched_existing_module,workflow_engine,"rest_api, authentication, database_orm, webhook_system, plugin_loader, node_system",A,传统类型漏洞,workflow_engine,"rest_api, authentication, database_orm, webhook_system, plugin_loader, node_system",matched_existing_module,user_input,automation_configuration,ssrf,malicious_url_injection,no,none,no,easy,high,,,,
Bytedesk_bytedesk,CVE-2026-3748,cves,"CWE-284, CWE-434",2026-03-08T16:16:02.020,CVE-2026-3748,,correct,yes,no,llm_application_platform,low,matched_existing_module,object_storage,rest_api,A,传统类型漏洞,object_storage,rest_api,matched_existing_module,file_input,multipart_upload,insecure_file_uploads,missing_whitelist_and_content_validation,no,none,no,easy,high,,,,
Bytedesk_bytedesk,CVE-2026-3749,cves,"CWE-284, CWE-434",2026-03-08T16:16:02.260,CVE-2026-3749,,correct,yes,no,llm_application_platform,medium,matched_existing_module,multimodal_message,"input_validation,rest_api",A,传统类型漏洞,multimodal_message,"input_validation,rest_api",matched_existing_module,file_input,svg_image,injection,stored_xss,no,none,no,easy,high,,,,
Bytedesk_bytedesk,CVE-2026-3788,cves,CWE-918,2026-03-09T00:16:01.247,CVE-2026-3788,,correct,yes,no,llm_application_platform,medium,matched_existing_module,llm_provider_abstraction,"rest_api, input_validation",A,传统类型漏洞,llm_provider_abstraction,"rest_api, input_validation",matched_existing_module,user_input,http_query_parameter,injection,ssrf,no,none,no,medium,high,,,,
Bytedesk_bytedesk,CVE-2026-3789,cves,CWE-918,2026-03-09T00:16:01.493,CVE-2026-3789,,correct,yes,no,llm_application_platform,medium,matched_existing_module,llm_provider_abstraction,input_validation,B,AI功能实现+传统方式,llm_provider_abstraction,input_validation,matched_existing_module,user_input,http_parameter,injection,ssrf,no,none,no,easy,high,,,,
Chainlit_chainlit,CVE-2025-68492,cves,CWE-639,2026-01-14T07:16:14.627,CVE-2025-68492,,correct,yes,no,llm_application_platform,medium,matched_existing_module,authorization,"chat_session, websocket_server, database_orm",A,传统类型漏洞,authorization,"chat_session, websocket_server, database_orm",matched_existing_module,api_input,websocket_connect_payload,auth_bypass,insecure_direct_object_reference,no,none,no,easy,high,,,,
Chainlit_chainlit,CVE-2026-22218,cves,CWE-22,2026-01-20T00:15:48.910,CVE-2026-22218,,correct,yes,no,ai_application_platform,low,matched_existing_module,multimodal_message,input_validation,A,传统类型漏洞,multimodal_message,input_validation,matched_existing_module,api_input,file_path,path_traversal,unvalidated_input,no,none,no,easy,high,,,,
Chainlit_chainlit,CVE-2026-22219,cves,CWE-918,2026-01-20T00:15:49.053,CVE-2026-22219,,correct,yes,no,llm_application_platform,high,matched_existing_module,database_orm,"rest_api, multimodal_message",A,传统类型漏洞,database_orm,"rest_api, multimodal_message",matched_existing_module,api_input,json_payload,server_side_request_forgery,trust_of_user_controlled_url,no,none,no,medium,high,,,,
ChatGPTNextWeb_NextChat,CVE-2023-49785,cves,"CWE-79, CWE-918",2024-03-12T00:15:26.383,CVE-2023-49785,,correct,yes,no,other,low,matched_existing_module,rest_api,"settings_ui, api_key_management, i18n_engine, chat_ui, config_loader, llm_provider_abstraction, input_validation",A,传统类型漏洞,rest_api,"settings_ui, api_key_management, i18n_engine, chat_ui, config_loader, llm_provider_abstraction, input_validation",matched_existing_module,user_input,url,logic_flaw,server_side_request_forgery,no,none,no,easy,high,,,,
ChatGPTNextWeb_NextChat,CVE-2024-38514,cves,CWE-918,2024-06-28T19:15:06.530,CVE-2024-38514,GHSA-gph5-rx77-3pjg,correct,yes,no,ai_api_gateway,medium,matched_existing_module,object_storage,"rest_api, settings_ui, chat_ui, llm_provider_abstraction, authentication, i18n_engine, theme_system",A,传统类型漏洞,object_storage,"rest_api, settings_ui, chat_ui, llm_provider_abstraction, authentication, i18n_engine, theme_system",matched_existing_module,user_input,text_field,injection,ssrf,no,none,no,easy,medium,,,,
ChatGPTNextWeb_NextChat,CVE-2025-50733,cves,CWE-79,2025-08-22T16:15:43.820,CVE-2025-50733,,incorrect,yes,yes,ai_api_gateway,medium,matched_existing_module,chat_ui,input_validation,A,传统类型漏洞,chat_ui,input_validation,matched_existing_module,user_input,chat_message,injection,cross_site_scripting,no,none,no,easy,high,,,,
ChatGPTNextWeb_NextChat,CVE-2025-50735,cves,CWE-22,2025-11-03T20:19:12.553,CVE-2025-50735,,correct,yes,no,other,medium,matched_existing_module,rest_api,"input_validation,object_storage,chat_ui,settings_ui,i18n_engine,api_key_management,theme_system",A,传统类型漏洞,rest_api,"input_validation,object_storage,chat_ui,settings_ui,i18n_engine,api_key_management,theme_system",matched_existing_module,api_input,url_path_and_query,path_traversal,inadequate_path_restriction,no,none,no,medium,high,,,,
ChatGPTNextWeb_NextChat,CVE-2026-7177,cves,CWE-918,2026-04-27T22:16:18.860,CVE-2026-7177,,correct,yes,no,plugin_based_ai_extension,high,matched_existing_module,tool_execution,"tool_registry,rest_api,plugin_registry",A,传统类型漏洞,tool_execution,"tool_registry,rest_api,plugin_registry",matched_existing_module,api_input,http_header,injection,ssrf,no,none,no,easy,high,,,,
ChatGPTNextWeb_NextChat,CVE-2026-7178,cves,CWE-918,2026-04-27T22:16:19.050,CVE-2026-7178,,correct,no,no,llm_application_platform,medium,matched_existing_module,rest_api,object_storage,A,传统类型漏洞,rest_api,object_storage,matched_existing_module,user_input,url_parameter,injection,ssrf,no,none,no,hard,high,,,,
ChatGPTNextWeb_NextChat,CVE-2026-7643,cves,"CWE-346, CWE-942",2026-05-02T15:16:14.203,CVE-2026-7643,,correct,yes,yes,llm_application_platform,medium,matched_existing_module,authorization,"authentication, rest_api, chat_ui, config_loader, llm_provider_abstraction",A,传统类型漏洞,authorization,"authentication, rest_api, chat_ui, config_loader, llm_provider_abstraction",matched_existing_module,api_input,cross_origin_request,misconfiguration,permissive_cors,no,none,no,hard,high,,,,
ChatGPTNextWeb_NextChat,CVE-2026-7644,cves,"CWE-266, CWE-285",2026-05-02T15:16:14.373,CVE-2026-7644,,correct,yes,no,llm_application_platform,high,matched_existing_module,authorization,mcp_client,A,传统类型漏洞,authorization,mcp_client,matched_existing_module,user_input,configuration_input,auth_bypass,missing_function_level_access_control,no,none,no,easy,high,,,,
CodeWithCJ_SparkyFitness,CVE-2025-65368,cves,CWE-79,2026-01-15T21:16:04.290,CVE-2025-65368,,correct,yes,no,llm_application_platform,low,matched_existing_module,chat_ui,message_pipeline,A,传统类型漏洞,chat_ui,message_pipeline,matched_existing_module,user_input,chat_message_text,injection,html_injection,no,none,no,easy,high,,,,
CodeWithCJ_SparkyFitness,GHSA-j7x6-6678-2xqp,security_advisories,CWE-80,2026-01-15T00:08:42Z,,GHSA-j7x6-6678-2xqp,correct,yes,no,insufficient_evidence,low,uncertain_existing_module,chat_ui,"llm_provider_abstraction, prompt_management, authentication, database_orm",B,AI功能实现+传统方式,chat_ui,"llm_provider_abstraction, prompt_management, authentication, database_orm",uncertain_existing_module,model_output,insufficient_evidence,injection,cross_site_scripting,uncertain,unknown,uncertain,medium,low,,,,
